Area_of_Origin,Building_Status,Estimated_Dollar_Loss,year
81 - Engine Area,,15000,2018
"75 - Trash, rubbish area (outside)",,50,2018
,,NA,NA
"75 - Trash, rubbish area (outside)",01 - Normal (no change),0,2018
,,NA,NA
81 - Engine Area,,1500,2018
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),2000,2018
55 - Mechanical/Electrical Services Room,01 - Normal (no change),100000,2018
28 - Office,01 - Normal (no change),5000,2018
,,NA,NA
,,NA,NA
24 - Cooking Area or Kitchen,01 - Normal (no change),500,2018
,,NA,NA
24 - Cooking Area or Kitchen,01 - Normal (no change),0,2018
,,NA,NA
81 - Engine Area,,7000,2018
"25 - Washroom or Bathroom (toilet,restroom/locker room)",01 - Normal (no change),15000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),0,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),60000,2018
81 - Engine Area,,10000,2018
,,NA,NA
81 - Engine Area,,10000,2018
64 - Porch or Balcony,01 - Normal (no change),100,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),3000,2018
81 - Engine Area,,100,2018
81 - Engine Area,,5000,2018
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),100,2018
"73 - Parking Area, Parking Lot",,15000,2018
,,NA,NA
,,NA,NA
,,NA,NA
,,NA,NA
,,NA,NA
,,NA,NA
,,NA,NA
24 - Cooking Area or Kitchen,01 - Normal (no change),200,2018
,,NA,NA
,,NA,NA
"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",,0,2018
86 - Passenger Area,,4000,2018
81 - Engine Area,,25000,2018
81 - Engine Area,,5000,2018
24 - Cooking Area or Kitchen,03 - Under Construction,15000,2018
,,NA,NA
50 - Basement/cellar (not partitioned),03 - Under Construction,500000,2018
64 - Porch or Balcony,01 - Normal (no change),1000,2018
99 - Undetermined  (formerly 98),,20000,2018
,,NA,NA
64 - Porch or Balcony,01 - Normal (no change),1000,2018
,,NA,NA
99 - Undetermined  (formerly 98),,15000,2018
78 - Attached Deck,01 - Normal (no change),1000,2018
,,NA,NA
,,NA,NA
24 - Cooking Area or Kitchen,01 - Normal (no change),10000,2018
,,NA,NA
,,NA,NA
,,NA,NA
86 - Passenger Area,,8000,2018
85 - Operator/Control Area,,40000,2018
99 - Undetermined  (formerly 98),,60000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),5000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),5000,2018
"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",01 - Normal (no change),10000,2018
"21 - Living Area (e.g. living, TV, recreation, etc)",01 - Normal (no change),3000,2018
,,NA,NA
61 - Exterior Wall,03 - Under Construction,0,2018
81 - Engine Area,,3000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),30000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),1000,2018
"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",01 - Normal (no change),0,2018
62 - Roof,01 - Normal (no change),100,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),50,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),5000,2018
,,NA,NA
24 - Cooking Area or Kitchen,01 - Normal (no change),300,2018
"12 - Hallway, Corridor",02 - Under Renovation,1000,2018
83 - Electrical Systems,,0,2018
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),10000,2018
"21 - Living Area (e.g. living, TV, recreation, etc)",01 - Normal (no change),60000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),2000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),0,2018
"59 - Utility Shaft (eg. electrical wiring/phone, etc.)",,50000,2018
,,NA,NA
81 - Engine Area,,10000,2018
"12 - Hallway, Corridor",01 - Normal (no change),100,2018
85 - Operator/Control Area,,30000,2018
,,NA,NA
79 - Other Outside Area,01 - Normal (no change),50000,2018
,,NA,NA
,,NA,NA
64 - Porch or Balcony,01 - Normal (no change),1000,2018
,,NA,NA
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),5000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),500,2018
"75 - Trash, rubbish area (outside)",,500,2018
,,NA,NA
89 - Other Vehicle Area,,1000,2018
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),30000,2018
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),20000,2018
79 - Other Outside Area,09 - Undetermined,10000,2018
"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),20000,2018
24 - Cooking Area or Kitchen,01 - Normal (no change),1000,2018
"31 - Process Manufacturing (inc manf, prod assembly, repair)",01 - Normal (no change),25000,2018
53 - Chimney/Flue Pipe,01 - Normal (no change),150000,2018
"25 - Washroom or Bathroom (toilet,restroom/locker room)",01 - Normal (no change),20000,2018
26 - Sauna,01 - Normal (no change),100,2018
